timestamp,signal_value
0,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,100
39,100
40,200
41,200
42,200
43,200
44,200
45,200
46,200
47,200
48,200
49,200
50,200
51,200
52,200
53,200
54,200
55,200
56,200
57,200
58,200
59,200
60,200
61,200
62,200
63,200
64,200
65,200
66,200
67,200
68,200
69,200
70,200
71,200
72,200
73,200
74,200
75,200
76,200
77,200
78,200
79,200
80,50
81,50
82,50
83,50
84,50
85,50
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
106,50
107,50
108,50
109,50
110,50
111,50
112,50
113,50
114,50
115,50
116,50
117,50
118,50
119,50
120,300
121,300
122,300
123,300
124,300
125,300
126,300
127,300
128,300
129,300
130,300
131,300
132,300
133,300
134,300
135,300
136,300
137,300
138,300
139,300
140,300
141,300
142,300
143,300
144,300
145,300
146,300
147,300
148,300
149,300
150,300
151,300
152,300
153,300
154,300
155,300
156,300
157,300
158,300
159,300
160,10
161,10
162,10
163,10
164,10
165,10
166,10
167,10
168,10
169,10
170,10
171,10
172,10
173,10
174,10
175,10
176,10
177,10
178,10
179,10
180,10
181,10
182,10
183,10
184,10
185,10
186,10
187,10
188,10
189,10
190,10
191,10
192,10
193,10
194,10
195,10
196,10
197,10
198,10
199,10
200,10
201,10
202,10
203,10
204,10
205,10
206,10
207,10
208,10
209,10
210,10
211,10
212,10
213,10
214,10
215,10
216,10
217,10
218,10
219,10
220,10
221,10
222,10
223,10
224,10
225,10
226,10
227,10
228,10
229,10
230,10
231,10
232,10
233,10
234,10
235,10
236,10
237,10
238,10
239,10
240,10
241,10
242,10
243,10
244,10
245,10
246,10
247,10
248,10
249,10
250,150
251,150
252,150
253,150
254,150
255,150
256,150
257,150
258,150
259,150
260,150
261,150
262,150
263,150
264,150
265,150
266,150
267,150
268,150
269,150
270,150
271,150
272,150
273,150
274,150
275,150
276,150
277,150
278,150
279,150
280,150
281,150
282,150
283,150
284,150
285,150
286,150
287,150
288,150
289,150
290,150
291,150
292,150
293,150
294,150
295,150
296,150
297,150
298,150
299,150
300,150
301,150
302,150
303,150
304,150
305,150
306,150
307,150
308,150
309,150
310,150
311,150
312,150
313,150
314,150
315,150
316,150
317,150
318,150
319,150
320,150
321,150
322,150
323,150
324,150
325,150
326,150
327,150
328,150
329,150
330,150
331,150
332,150
333,150
334,150
335,150
336,150
337,150
338,150
339,150
340,150
341,150
342,150
343,150
344,150
345,150
346,150
347,150
348,150
349,150
350,150
351,150
352,150
353,150
354,150
355,150
356,150
357,150
358,150
359,150
360,150
361,150
362,150
363,150
364,150
365,150
366,150
367,150
368,150
369,150
370,150
371,150
372,150
373,150
374,150
375,150
376,150
377,150
378,150
379,150
380,150
381,150
382,150
383,150
384,150
385,150
386,150
387,150
388,150
389,150
390,150
391,150
392,150
393,150
394,150
395,150
396,150
397,150
398,150
399,150
400,80
401,80
402,80
403,80
404,80
405,80
406,80
407,80
408,80
409,80
410,80
411,80
412,80
413,80
414,80
415,80
416,80
417,80
418,80
419,80
420,80
421,80
422,80
423,80
424,80
425,80
426,80
427,80
428,80
429,80
430,80
431,80
432,80
433,80
434,80
435,80
436,80
437,80
438,80
439,80
440,80
441,80
442,80
443,80
444,80
445,80
446,80
447,80
448,80
449,80
450,80
451,80
452,80
453,80
454,80
455,80
456,80
457,80
458,80
459,80
460,80
461,80
462,80
463,80
464,80
465,80
466,80
467,80
468,80
469,80
470,80
471,80
472,80
473,80
474,80
475,80
476,80
477,80
478,80
479,80
480,80
481,80
482,80
483,80
484,80
485,80
486,80
487,80
488,80
489,80
490,80
491,80
492,80
493,80
494,80
495,80
496,80
497,80
498,80
499,80
